date,time,open,high,low,close,volume
20260311,0702,315.61,315.67,315.16,315.46,39418
20260311,0703,315.46,315.5,315.29,315.38,28415
20260311,0704,315.32,315.39,315.3,315.35,9101
20260311,0705,315.35,315.35,315.27,315.34,3215
20260311,0706,315.3,315.35,315.3,315.35,24883
20260311,0707,315.35,315.35,315.27,315.31,2938
20260311,0708,315.3,315.35,315.3,315.35,9056
20260311,0709,315.32,315.35,315.05,315.2,22974
20260311,0710,315.2,315.21,315.15,315.21,5922
20260311,0711,315.21,315.52,315.21,315.49,39623
20260311,0712,315.49,315.63,315.49,315.61,7775
20260311,0713,315.61,315.62,315.53,315.6,8647
20260311,0714,315.6,315.6,315.51,315.51,3291
20260311,0715,315.52,315.59,315.44,315.49,34236
20260311,0716,315.49,315.5,315.44,315.45,5356
20260311,0717,315.45,315.5,315.43,315.49,6359
20260311,0718,315.5,315.5,315.37,315.37,8064
20260311,0719,315.39,315.58,315.39,315.54,28070
20260311,0720,315.57,315.57,315.47,315.54,7137
20260311,0721,315.54,315.54,315.43,315.45,3139
20260311,0722,315.54,315.54,315.38,315.46,5304
20260311,0723,315.49,315.5,315.41,315.48,1322
20260311,0724,315.5,315.57,315.48,315.57,10811
20260311,0725,315.57,315.58,315.5,315.58,6957
20260311,0726,315.57,315.58,315.48,315.48,4982
20260311,0727,315.5,315.5,315.33,315.38,7095
20260311,0728,315.44,315.59,315.35,315.54,36327
20260311,0729,315.56,315.56,315.45,315.56,1356
20260311,0730,315.54,315.55,315.46,315.53,251
20260311,0731,315.52,315.54,315.46,315.53,5088
20260311,0732,315.52,315.52,315.29,315.51,14894
20260311,0733,315.51,315.53,315.3,315.46,13070
20260311,0734,315.45,315.51,315.26,315.48,11713
20260311,0735,315.48,315.5,315.38,315.4,6168
20260311,0736,315.49,315.49,315.3,315.49,10461
20260311,0737,315.48,315.48,315.39,315.46,506
20260311,0738,315.45,315.45,315.38,315.42,464
20260311,0739,315.42,315.45,315.42,315.43,793
20260311,0740,315.43,315.44,315.4,315.42,671
20260311,0741,315.42,315.42,315.38,315.38,1123
20260311,0742,315.41,315.41,315.3,315.37,1452
20260311,0743,315.38,315.39,315.32,315.32,261
20260311,0744,315.32,315.32,315.23,315.28,5460
20260311,0745,315.28,315.28,315.21,315.22,2466
20260311,0746,315.21,315.28,315.21,315.28,3294
20260311,0747,315.28,315.29,315.28,315.29,951
20260311,0748,315.29,315.3,315.28,315.3,1519
20260311,0749,315.3,315.3,315.27,315.27,3036
20260311,0750,315.28,315.28,315.2,315.21,7914
20260311,0751,315.21,315.22,315.19,315.2,2101
20260311,0752,315.19,315.2,315.11,315.2,6386
20260311,0753,315.2,315.2,315.13,315.13,1122
20260311,0754,315.13,315.19,315.04,315.07,3341
20260311,0755,315.04,315.1,315.03,315.1,2238
20260311,0756,315.1,315.1,315.05,315.09,1165
20260311,0757,315.09,315.1,315.06,315.09,985
20260311,0758,315.1,315.1,315.09,315.1,6348
20260311,0759,315.1,315.13,315.1,315.12,617
20260311,0800,315.12,315.19,315.11,315.19,17832
20260311,0801,315.19,315.27,315.18,315.27,5973
20260311,0802,315.27,315.43,315.26,315.43,26356
20260311,0803,315.43,315.5,315.41,315.46,21144
20260311,0804,315.46,315.49,315.43,315.46,12546
20260311,0805,315.45,315.46,315.45,315.45,3719
20260311,0806,315.45,315.88,315.45,315.81,121979
20260311,0807,315.71,315.81,315.7,315.75,2519
20260311,0808,315.75,316.2,315.7,316.15,53320
20260311,0809,316.15,316.38,315.97,316.08,31647
20260311,0810,316.07,316.2,316.0,316.09,45500
20260311,0811,316.09,316.24,316.05,316.2,27631
20260311,0812,316.2,316.2,316.05,316.05,2608
20260311,0813,316.09,316.09,315.98,316.02,1640
20260311,0814,316.02,316.05,315.94,315.94,9130
20260311,0815,315.94,316.09,315.94,316.09,2317
20260311,0816,316.0,316.1,316.0,316.1,4003
20260311,0817,316.09,316.1,315.95,316.08,9727
20260311,0818,316.03,316.07,316.0,316.0,6544
20260311,0819,316.07,316.07,316.0,316.01,3539
20260311,0820,316.0,316.01,316.0,316.01,5957
20260311,0821,316.0,316.01,315.93,315.98,799
20260311,0822,315.93,315.95,315.85,315.91,1693
20260311,0823,315.87,315.95,315.87,315.87,1225
20260311,0824,315.9,315.94,315.87,315.92,290
20260311,0825,315.92,315.92,315.77,315.8,24170
20260311,0826,315.8,315.8,315.72,315.72,754
20260311,0827,315.72,315.72,315.67,315.7,9510
20260311,0828,315.7,315.79,315.68,315.78,5946
20260311,0829,315.77,315.77,315.65,315.77,1708
20260311,0830,315.77,315.77,315.48,315.49,17127
20260311,0831,315.49,315.5,315.48,315.5,524
20260311,0832,315.49,315.5,315.48,315.48,310
20260311,0833,315.5,315.66,315.48,315.65,6689
20260311,0834,315.57,315.65,315.57,315.65,526
20260311,0835,315.6,315.65,315.54,315.57,8381
20260311,0836,315.57,315.57,315.54,315.57,326
20260311,0837,315.57,315.63,315.56,315.59,705
20260311,0838,315.63,315.65,315.63,315.65,682
20260311,0839,315.64,315.72,315.64,315.72,474
20260311,0840,315.72,315.73,315.66,315.71,478
20260311,0841,315.71,315.74,315.68,315.74,1101
20260311,0842,315.74,315.76,315.73,315.76,4096
20260311,0843,315.76,315.76,315.71,315.71,667
20260311,0844,315.75,315.75,315.6,315.6,7917
20260311,0845,315.69,315.72,315.6,315.72,1553
20260311,0846,315.72,315.72,315.68,315.72,1381
20260311,0847,315.72,315.72,315.54,315.63,23458
20260311,0848,315.63,315.66,315.55,315.63,944
20260311,0849,315.63,315.65,315.63,315.65,249
20260311,0850,315.63,315.63,315.53,315.53,9630
20260311,0851,315.58,315.58,315.52,315.58,752
20260311,0852,315.52,315.58,315.52,315.52,1465
20260311,0853,315.57,315.58,315.53,315.58,3318
20260311,0854,315.58,315.59,315.46,315.47,29479
20260311,0855,315.47,315.55,315.43,315.5,4979
20260311,0856,315.5,315.5,315.28,315.4,15515
20260311,0857,315.41,315.42,315.38,315.39,1077
