date,open,high,low,close,volume
20191021,236.0,242.78,234.04,240.0,193585600
20191028,240.5,242.33,232.8,236.4,223686730
20191104,239.6,242.95,236.52,240.17,152360700
20191111,239.0,243.74,235.81,240.0,159135800
20191118,240.57,241.23,235.8,238.13,148422890
20191125,238.68,239.75,231.97,233.98,143925930
20191202,234.59,236.37,229.03,235.14,135714910
20191209,235.5,243.25,234.3,241.21,181379200
20191216,242.48,248.4,240.13,244.71,208140700
20191223,244.71,252.95,244.07,252.06,97951950
20191230,252.1,258.19,250.73,255.0,79009200
20200106,254.75,261.76,251.4,258.19,120345950
20200113,258.3,263.22,254.21,262.5,191503600
20200120,263.2,270.8,261.8,265.49,180106560
20200127,261.0,262.1,252.17,252.2,219329570
20200203,251.8,258.0,248.73,254.3,247114000
20200210,254.55,259.77,251.4,251.75,233946940
20200217,252.5,253.1,247.24,250.8,147074510
20200224,247.98,251.21,231.0,233.36,291687340
20200302,238.93,241.0,216.67,219.99,401445320
20200309,197.99,212.74,173.14,198.6,843856990
20200316,194.0,204.78,172.15,195.69,871440840
20200323,188.0,201.0,180.17,180.38,676631910
20200330,177.0,189.9,174.9,185.64,503685070
20200406,187.52,205.44,186.42,201.99,443007450
20200413,202.0,202.85,183.53,191.8,400571730
20200420,190.6,192.5,183.65,188.91,349982760
20200427,189.98,199.7,188.17,197.25,279337290
20200504,195.68,198.15,193.26,196.02,232964200
20200511,193.3,198.0,183.33,183.85,270953250
20200518,186.33,196.31,185.4,188.9,412768470
20200525,189.62,205.0,188.8,200.5,442359310
20200601,203.1,221.92,201.81,219.1,538715590
20200608,219.8,223.15,206.01,208.35,319921470
20200615,205.07,212.19,202.3,207.0,346455760
20200622,206.7,209.74,200.75,203.15,230337910
20200629,201.0,211.97,200.97,210.95,213863900
20200706,212.97,216.79,206.57,212.28,238147670
20200713,213.87,214.2,205.7,210.81,242066230
20200720,210.27,219.28,197.73,215.97,265589800
20200727,216.7,221.98,215.15,221.57,215253000
20200803,222.27,229.17,221.3,227.28,227021290
20200810,227.96,244.04,224.51,239.99,356385200
20200817,240.8,242.35,227.35,231.22,407972150
20200824,232.5,233.7,224.7,226.3,271085280
20200831,227.0,229.71,216.75,222.21,317560260
20200907,221.5,224.2,215.79,221.07,294309750
20200914,222.31,232.6,222.13,230.3,268168950
20200921,229.88,232.1,223.49,228.24,350468370
20200928,228.79,230.75,206.5,208.8,425692150
20201005,209.65,212.99,204.4,205.38,310247580
20201012,205.97,208.49,200.5,201.17,287945360
20201019,201.55,214.73,201.55,214.5,333071260
20201026,213.4,214.45,200.61,200.99,365342200
20201102,200.45,218.65,196.15,217.5,420256740
20201109,220.0,245.98,218.7,242.99,939571240
20201116,244.14,249.84,236.57,239.42,414896200
20201123,240.45,252.88,238.52,251.59,424094520
20201130,249.72,270.84,245.98,270.0,494542020
20201207,269.0,284.6,268.1,283.73,399054200
20201214,285.01,287.74,268.52,270.16,420767830
20201221,266.2,272.82,257.05,270.64,348551420
20201228,270.9,276.43,269.73,271.65,109595700
20210104,274.67,283.99,270.28,283.64,224384140
20210111,282.86,296.07,276.0,276.9,407319530
20210118,275.72,282.8,266.78,268.25,348678670
20210125,271.0,273.8,257.36,258.11,491029330
20210201,260.0,272.57,258.73,271.7,371049460
20210208,273.01,276.29,258.55,266.0,327215720
